equipo_local,equipo_visitante,goles_local,goles_visitante,resultado
Temperley,Arsenal,1,1,E
Godoy Cruz,Boca Juniors,1,1,E
Belgrano,Olimpo,0,0,E
River Plate,San Martin (SJ),1,1,E
Racing Club,Def y Justicia,1,1,E
Tigre,Huracan,1,1,E
Gimnasia (LP),Atl Rafaela,0,1,V
Olimpo,Godoy Cruz,3,0,L
Newells,Atl Tucuman,3,1,L
Atl Rafaela,Rosario Central,0,0,E
Velez,Racing Club,0,3,V
Independiente,Tigre,1,1,E
Huracan,Sarmiento (J),0,0,E
Estudiantes (LP),Temperley,3,0,L
Union,Belgrano,0,2,V
Talleres (C),Banfield,0,0,E
Patronato,San Lorenzo,1,1,E
Lanus,Aldosivi,0,0,E
Boca Juniors,Quilmes,4,1,L
Def y Justicia,River Plate,3,3,E
Arsenal,Gimnasia (LP),2,2,E
San Martin (SJ),Colon,0,0,E
Quilmes,Olimpo,2,1,L
Godoy Cruz,Union,2,1,L
Rosario Central,Arsenal,5,0,L
Aldosivi,Talleres (C),2,1,L
Temperley,Newells,0,0,E
Racing Club,Patronato,2,0,L
River Plate,Velez,3,0,L
San Lorenzo,Atl Rafaela,2,1,L
Belgrano,Lanus,1,1,E
Gimnasia (LP),Estudiantes (LP),0,0,E
Banfield,San Martin (SJ),3,2,L
Colon,Def y Justicia,1,0,L
Sarmiento (J),Independiente,0,1,V
Tigre,Boca Juniors,1,1,E
Atl Tucuman,Huracan,0,2,V
Def y Justicia,Banfield,1,0,L
Belgrano,Aldosivi,0,0,E
Velez,Colon,2,1,L
Huracan,Temperley,1,2,V
Atl Rafaela,Racing Club,3,2,L
Estudiantes (LP),Rosario Central,3,2,L
San Martin (SJ),Talleres (C),1,3,V
Independiente,Atl Tucuman,0,2,V
Lanus,Godoy Cruz,3,0,L
Boca Juniors,Sarmiento (J),2,0,L
Olimpo,Tigre,1,4,V
Newells,Gimnasia (LP),1,0,L
Arsenal,San Lorenzo,1,3,V
Patronato,River Plate,2,1,L
Union,Quilmes,1,1,E
Sarmiento (J),Olimpo,1,1,E
Talleres (C),Def y Justicia,2,0,L
Quilmes,Lanus,1,0,L
Godoy Cruz,Belgrano,2,0,L
Temperley,Independiente,0,1,V
Colon,Patronato,0,1,V
Racing Club,Arsenal,1,0,L
River Plate,Atl Rafaela,1,0,L
Gimnasia (LP),Huracan,1,0,L
Banfield,Velez,1,0,L
Tigre,Union,3,1,L
Rosario Central,Newells,0,1,V
San Lorenzo,Estudiantes (LP),1,2,V
Atl Tucuman,Boca Juniors,2,2,E
Aldosivi,San Martin (SJ),1,2,V
Olimpo,Atl Tucuman,2,1,L
Patronato,Banfield,2,0,L
Velez,Talleres (C),0,2,V
Boca Juniors,Temperley,4,0,L
Belgrano,Quilmes,0,0,E
Independiente,Gimnasia (LP),0,0,E
Huracan,Rosario Central,1,1,E
Estudiantes (LP),Racing Club,2,1,L
Lanus,Tigre,1,1,E
Godoy Cruz,Aldosivi,3,1,L
Newells,San Lorenzo,2,2,E
Atl Rafaela,Colon,0,2,V
Arsenal,River Plate,2,2,E
Def y Justicia,San Martin (SJ),0,0,E
Union,Sarmiento (J),1,0,L
Temperley,Olimpo,0,0,E
Quilmes,Godoy Cruz,1,0,L
River Plate,Estudiantes (LP),1,1,E
Sarmiento (J),Lanus,1,2,V
Colon,Arsenal,1,0,L
Racing Club,Newells,2,1,L
San Martin (SJ),Velez,2,0,L
Banfield,Atl Rafaela,1,1,E
San Lorenzo,Huracan,2,0,L
Tigre,Belgrano,2,1,L
Talleres (C),Patronato,1,0,L
Rosario Central,Independiente,0,0,E
Gimnasia (LP),Boca Juniors,0,3,V
Aldosivi,Def y Justicia,0,0,E
Atl Tucuman,Union,1,1,E
Velez,Def y Justicia,2,1,L
Arsenal,Banfield,1,3,V
Estudiantes (LP),Colon,1,0,L
Union,Temperley,2,1,L
Godoy Cruz,Tigre,2,1,L
Lanus,Atl Tucuman,1,0,L
Huracan,Racing Club,1,1,E
Quilmes,Aldosivi,1,0,L
Independiente,San Lorenzo,1,2,V
Belgrano,Sarmiento (J),1,2,V
Boca Juniors,Rosario Central,1,1,E
Atl Rafaela,Talleres (C),0,1,V
Newells,River Plate,1,0,L
Olimpo,Gimnasia (LP),0,0,E
Patronato,San Martin (SJ),3,0,L
Temperley,Lanus,1,3,V
Talleres (C),Arsenal,0,0,E
Tigre,Quilmes,3,0,L
Colon,Newells,1,2,V
Banfield,Estudiantes (LP),3,2,L
Atl Tucuman,Belgrano,0,0,E
Rosario Central,Olimpo,1,1,E
Aldosivi,Velez,0,0,E
River Plate,Huracan,1,0,L
Sarmiento (J),Godoy Cruz,2,2,E
San Lorenzo,Boca Juniors,1,2,V
Racing Club,Independiente,3,0,L
Def y Justicia,Patronato,1,2,V
Gimnasia (LP),Union,1,1,E
San Martin (SJ),Atl Rafaela,0,3,V
Quilmes,Sarmiento (J),1,3,V
Huracan,Colon,1,3,V
Atl Rafaela,Def y Justicia,0,1,V
Tigre,Aldosivi,1,1,E
Newells,Banfield,0,2,V
Godoy Cruz,Atl Tucuman,1,2,V
Olimpo,San Lorenzo,1,2,V
Union,Rosario Central,2,0,L
Estudiantes (LP),Talleres (C),0,0,E
Patronato,Velez,0,0,E
Boca Juniors,Racing Club,4,2,L
Belgrano,Temperley,0,0,E
Independiente,River Plate,1,0,L
Arsenal,San Martin (SJ),0,0,E
Lanus,Gimnasia (LP),1,0,L
Aldosivi,Patronato,1,1,E
Sarmiento (J),Tigre,2,0,L
Temperley,Godoy Cruz,1,0,L
San Lorenzo,Union,3,2,L
Velez,Atl Rafaela,2,0,L
Talleres (C),Newells,1,1,E
Gimnasia (LP),Belgrano,1,1,E
Racing Club,Olimpo,0,2,V
River Plate,Boca Juniors,2,4,V
Banfield,Huracan,1,0,L
San Martin (SJ),Estudiantes (LP),3,2,L
Colon,Independiente,0,2,V
Rosario Central,Lanus,1,2,V
Atl Tucuman,Quilmes,3,0,L
Def y Justicia,Arsenal,2,0,L
Huracan,Talleres (C),1,0,L
Godoy Cruz,Gimnasia (LP),0,3,V
Estudiantes (LP),Def y Justicia,1,2,V
Sarmiento (J),Aldosivi,0,2,V
Union,Racing Club,1,0,L
Atl Rafaela,Patronato,3,0,L
Independiente,Banfield,0,1,V
Belgrano,Rosario Central,0,2,V
Lanus,San Lorenzo,2,2,E
Arsenal,Velez,2,1,L
Boca Juniors,Colon,4,1,L
Newells,San Martin (SJ),6,1,L
Olimpo,River Plate,1,2,V
Quilmes,Temperley,1,0,L
Tigre,Atl Tucuman,0,0,E
Velez,Estudiantes (LP),3,2,L
Patronato,Arsenal,4,2,L
Def y Justicia,Newells,1,0,L
San Lorenzo,Belgrano,2,1,L
Banfield,Boca Juniors,0,2,V
San Martin (SJ),Huracan,0,1,V
Racing Club,Lanus,3,0,L
Temperley,Tigre,3,1,L
Gimnasia (LP),Quilmes,3,1,L
River Plate,Union,0,0,E
Rosario Central,Godoy Cruz,0,1,V
Atl Tucuman,Sarmiento (J),2,1,L
Aldosivi,Atl Rafaela,1,0,L
Colon,Olimpo,1,1,E
Talleres (C),Independiente,0,2,V
Quilmes,Rosario Central,0,1,V
Union,Colon,0,2,V
Newells,Velez,3,0,L
Tigre,Gimnasia (LP),0,1,V
Independiente,San Martin (SJ),0,0,E
Huracan,Def y Justicia,2,0,L
Belgrano,Racing Club,2,0,L
Sarmiento (J),Temperley,2,1,L
Godoy Cruz,San Lorenzo,2,0,L
Estudiantes (LP),Patronato,1,0,L
Olimpo,Banfield,1,0,L
Boca Juniors,Talleres (C),1,2,V
Arsenal,Atl Rafaela,1,2,V
Atl Tucuman,Aldosivi,0,0,E
Lanus,River Plate,1,3,V
Patronato,Newells,1,1,E
Banfield,Union,3,1,L
Rosario Central,Tigre,1,0,L
San Lorenzo,Quilmes,3,0,L
Gimnasia (LP),Sarmiento (J),1,0,L
Racing Club,Godoy Cruz,2,1,L
Atl Rafaela,Estudiantes (LP),2,2,E
Colon,Lanus,1,0,L
San Martin (SJ),Boca Juniors,1,2,V
Temperley,Atl Tucuman,2,2,E
River Plate,Belgrano,2,1,L
Aldosivi,Arsenal,2,1,L
Velez,Huracan,1,1,E
Talleres (C),Olimpo,1,0,L
Def y Justicia,Independiente,1,2,V
Atl Tucuman,Gimnasia (LP),0,1,V
Independiente,Velez,1,1,E
Newells,Atl Rafaela,1,0,L
Temperley,Aldosivi,1,0,L
Quilmes,Racing Club,2,3,V
Belgrano,Colon,0,1,V
Boca Juniors,Def y Justicia,1,0,L
Estudiantes (LP),Arsenal,2,0,L
Lanus,Banfield,4,2,L
Sarmiento (J),Rosario Central,2,2,E
Tigre,San Lorenzo,4,3,L
Huracan,Patronato,0,0,E
Godoy Cruz,River Plate,1,2,V
Olimpo,San Martin (SJ),0,0,E
Union,Talleres (C),4,2,L
Aldosivi,Estudiantes (LP),1,4,V
Colon,Godoy Cruz,1,0,L
Rosario Central,Atl Tucuman,2,1,L
Arsenal,Newells,0,1,V
San Lorenzo,Sarmiento (J),1,0,L
Atl Rafaela,Huracan,1,1,E
Talleres (C),Lanus,3,1,L
Banfield,Belgrano,2,0,L
Patronato,Independiente,0,5,V
San Martin (SJ),Union,0,0,E
River Plate,Quilmes,2,0,L
Velez,Boca Juniors,1,3,V
Def y Justicia,Olimpo,1,1,E
Gimnasia (LP),Temperley,1,1,E
Racing Club,Tigre,4,1,L
Huracan,Arsenal,1,2,V
Lanus,San Martin (SJ),0,0,E
Newells,Estudiantes (LP),0,0,E
Belgrano,Talleres (C),1,1,E
Independiente,Atl Rafaela,1,1,E
Olimpo,Velez,0,1,V
Sarmiento (J),Racing Club,1,2,V
Godoy Cruz,Banfield,3,1,L
Atl Tucuman,San Lorenzo,1,0,L
Quilmes,Colon,0,1,V
Boca Juniors,Patronato,1,1,E
Tigre,River Plate,0,2,V
Union,Def y Justicia,0,2,V
Temperley,Rosario Central,1,2,V
Gimnasia (LP),Aldosivi,1,0,L
San Lorenzo,Temperley,0,1,V
Aldosivi,Newells,0,3,V
Racing Club,Atl Tucuman,4,3,L
Def y Justicia,Lanus,1,0,L
Banfield,Quilmes,2,0,L
Velez,Union,2,1,L
Rosario Central,Gimnasia (LP),2,1,L
Estudiantes (LP),Huracan,1,1,E
Atl Rafaela,Boca Juniors,0,0,E
San Martin (SJ),Belgrano,2,1,L
River Plate,Sarmiento (J),1,1,E
Talleres (C),Godoy Cruz,1,0,L
Arsenal,Independiente,0,2,V
Patronato,Olimpo,3,4,V
Colon,Tigre,2,1,L
Quilmes,Talleres (C),1,0,L
Independiente,Estudiantes (LP),2,2,E
Gimnasia (LP),San Lorenzo,0,1,V
Huracan,Newells,0,1,V
Sarmiento (J),Colon,0,4,V
Tigre,Banfield,0,1,V
Temperley,Racing Club,3,0,L
Union,Patronato,0,0,E
Godoy Cruz,San Martin (SJ),0,0,E
Rosario Central,Aldosivi,2,0,L
Boca Juniors,Arsenal,3,0,L
Olimpo,Atl Rafaela,1,2,V
Belgrano,Def y Justicia,0,1,V
Lanus,Velez,2,0,L
Atl Tucuman,River Plate,0,3,V
San Martin (SJ),Quilmes,1,0,L
Talleres (C),Tigre,1,2,V
Patronato,Lanus,0,2,V
Racing Club,Gimnasia (LP),1,0,L
Atl Rafaela,Union,3,0,L
River Plate,Temperley,4,1,L
Estudiantes (LP),Boca Juniors,0,0,E
Aldosivi,Huracan,0,3,V
Def y Justicia,Godoy Cruz,0,0,E
San Lorenzo,Rosario Central,2,1,L
Newells,Independiente,2,4,V
Colon,Atl Tucuman,2,2,E
Banfield,Sarmiento (J),2,0,L
Velez,Belgrano,1,2,V
Arsenal,Olimpo,1,0,L
San Martin (SJ),Godoy Cruz,1,2,V
Talleres (C),Belgrano,1,1,E
Estudiantes (LP),Gimnasia (LP),1,0,L
Banfield,Lanus,1,0,L
Atl Rafaela,Atl Tucuman,1,0,L
Huracan,San Lorenzo,0,1,V
Olimpo,Aldosivi,2,0,L
Colon,Union,1,1,E
Newells,Rosario Central,1,3,V
Boca Juniors,River Plate,1,3,V
Independiente,Racing Club,2,0,L
Patronato,Sarmiento (J),2,2,E
Arsenal,Temperley,2,0,L
Def y Justicia,Quilmes,2,0,L
Velez,Tigre,2,1,L
Atl Tucuman,Banfield,3,0,L
Belgrano,Patronato,1,1,E
Lanus,Atl Rafaela,2,0,L
Sarmiento (J),Talleres (C),1,4,V
Boca Juniors,Newells,1,0,L
Tigre,San Martin (SJ),1,1,E
Union,Arsenal,0,1,V
Independiente,Huracan,2,1,L
Godoy Cruz,Velez,3,0,L
San Lorenzo,Aldosivi,0,1,V
Temperley,Colon,3,0,L
Quilmes,Def y Justicia,0,2,V
Rosario Central,Racing Club,4,1,L
Olimpo,Estudiantes (LP),3,1,L
Gimnasia (LP),River Plate,0,3,V
Aldosivi,Independiente,0,0,E
Colon,Gimnasia (LP),1,2,V
Banfield,Temperley,3,1,L
Newells,Olimpo,3,2,L
San Martin (SJ),Sarmiento (J),4,2,L
Huracan,Boca Juniors,1,1,E
Racing Club,San Lorenzo,2,1,L
Def y Justicia,Tigre,1,0,L
Arsenal,Lanus,0,2,V
Talleres (C),Atl Tucuman,2,1,L
River Plate,Rosario Central,0,0,E
Atl Rafaela,Belgrano,1,2,V
Patronato,Godoy Cruz,0,3,V
Estudiantes (LP),Union,2,0,L
Velez,Quilmes,0,0,E
Sarmiento (J),Def y Justicia,1,0,L
Godoy Cruz,Atl Rafaela,0,2,V
Tigre,Velez,0,3,V
Temperley,Talleres (C),2,1,L
Rosario Central,Colon,0,0,E
Union,Newells,2,1,L
Lanus,Estudiantes (LP),1,0,L
San Lorenzo,River Plate,2,1,L
Gimnasia (LP),Banfield,1,2,V
Belgrano,Arsenal,1,2,V
Olimpo,Huracan,3,1,L
Atl Tucuman,San Martin (SJ),1,2,V
Boca Juniors,Independiente,3,0,L
Quilmes,Patronato,0,1,V
Racing Club,Aldosivi,1,1,E
Colon,San Lorenzo,2,1,L
San Martin (SJ),Temperley,0,1,V
Huracan,Union,1,0,L
Talleres (C),Gimnasia (LP),0,1,V
Banfield,Rosario Central,3,1,L
Arsenal,Godoy Cruz,1,2,V
Estudiantes (LP),Belgrano,2,0,L
Atl Rafaela,Quilmes,1,1,E
Aldosivi,Boca Juniors,0,4,V
Velez,Sarmiento (J),5,1,L
Newells,Lanus,1,1,E
Patronato,Tigre,0,2,V
Independiente,Olimpo,1,1,E
Def y Justicia,Atl Tucuman,3,0,L
River Plate,Racing Club,2,3,V
San Lorenzo,Banfield,1,0,L
Gimnasia (LP),San Martin (SJ),2,0,L
Rosario Central,Talleres (C),3,3,E
Quilmes,Arsenal,2,2,E
Temperley,Def y Justicia,2,3,V
Racing Club,Colon,1,0,L
Olimpo,Boca Juniors,2,2,E
River Plate,Aldosivi,1,0,L
Belgrano,Newells,2,1,L
Lanus,Huracan,2,0,L
Sarmiento (J),Patronato,1,3,V
Tigre,Atl Rafaela,1,0,L
Godoy Cruz,Estudiantes (LP),0,2,V
Union,Independiente,0,3,V
Atl Tucuman,Velez,1,1,E
Def y Justicia,Gimnasia (LP),1,0,L
San Martin (SJ),Rosario Central,1,1,E
Boca Juniors,Union,2,1,L
Atl Rafaela,Sarmiento (J),2,3,V
Banfield,Racing Club,1,3,V
Colon,River Plate,0,0,E
Patronato,Atl Tucuman,1,1,E
Arsenal,Tigre,2,1,L
Huracan,Belgrano,0,0,E
Velez,Temperley,0,0,E
Aldosivi,Olimpo,0,3,V
Estudiantes (LP),Quilmes,1,0,L
Newells,Godoy Cruz,0,2,V
Talleres (C),San Lorenzo,1,1,E
Independiente,Lanus,1,1,E
Tigre,Velez,0,3,V
Banfield,Belgrano,2,1,L
Def y Justicia,Gimnasia (LP),4,4,E
Colon,Rosario Central,1,1,E
Talleres (C),Lanus,5,2,L
Independiente,Huracan,3,1,L
San Martin (SJ),Patronato,2,0,L
Atl Tucuman,Godoy Cruz,2,1,L
San Lorenzo,Racing Club,1,1,E
Boca Juniors,Olimpo,3,0,L
Temperley,River Plate,0,1,V
Newells,Union,1,1,E
Estudiantes (LP),Arsenal,2,1,L
Argentinos,Chacarita,1,0,L
Velez,Atl Tucuman,2,0,L
Arsenal,Colon,0,1,V
Olimpo,Independiente,1,1,E
Belgrano,San Martin (SJ),1,0,L
Estudiantes (LP),Def y Justicia,0,1,V
Patronato,Argentinos,2,1,L
Racing Club,Temperley,4,1,L
Chacarita,Tigre,1,1,E
Godoy Cruz,Talleres (C),2,1,L
Rosario Central,San Lorenzo,0,0,E
River Plate,Banfield,3,1,L
Lanus,Boca Juniors,0,1,V
Union,Gimnasia (LP),1,0,L
Huracan,Newells,1,0,L
Tigre,Patronato,1,3,V
Colon,Estudiantes (LP),0,0,E
Def y Justicia,Union,1,3,V
Argentinos,Belgrano,1,2,V
Newells,Olimpo,2,0,L
San Lorenzo,Arsenal,1,0,L
Independiente,Lanus,0,1,V
Talleres (C),Velez,0,0,E
Atl Tucuman,Chacarita,1,1,E
Banfield,Racing Club,1,0,L
Boca Juniors,Godoy Cruz,4,1,L
San Martin (SJ),River Plate,1,3,V
Gimnasia (LP),Huracan,1,3,V
Temperley,Rosario Central,1,1,E
Belgrano,Tigre,0,0,E
Patronato,Atl Tucuman,2,1,L
Arsenal,Temperley,0,1,V
Huracan,Union,0,0,E
Chacarita,Talleres (C),0,1,V
Velez,Boca Juniors,0,4,V
Godoy Cruz,Independiente,1,0,L
Colon,Def y Justicia,3,1,L
Olimpo,Gimnasia (LP),0,1,V
Rosario Central,Banfield,0,4,V
River Plate,Argentinos,1,1,E
Racing Club,San Martin (SJ),0,0,E
Lanus,Newells,1,0,L
Estudiantes (LP),San Lorenzo,1,3,V
Union,Olimpo,2,0,L
Def y Justicia,Huracan,0,0,E
Atl Tucuman,Belgrano,0,0,E
San Lorenzo,Colon,0,0,E
Temperley,Estudiantes (LP),0,3,V
Gimnasia (LP),Lanus,1,3,V
Argentinos,Racing Club,2,0,L
Talleres (C),Patronato,1,0,L
San Martin (SJ),Rosario Central,3,1,L
Independiente,Velez,1,0,L
Boca Juniors,Chacarita,1,0,L
Tigre,River Plate,1,1,E
Banfield,Arsenal,1,2,V
Newells,Godoy Cruz,0,0,E
Lanus,Union,2,1,L
San Lorenzo,Def y Justicia,3,1,L
Colon,Temperley,2,0,L
Rosario Central,Argentinos,1,3,V
Estudiantes (LP),Banfield,1,1,E
Velez,Newells,1,0,L
Racing Club,Tigre,1,0,L
Chacarita,Independiente,1,2,V
Godoy Cruz,Gimnasia (LP),3,0,L
Belgrano,Talleres (C),0,0,E
River Plate,Atl Tucuman,2,2,E
Patronato,Boca Juniors,0,2,V
Olimpo,Huracan,0,2,V
Arsenal,San Martin (SJ),0,1,V
Banfield,Colon,1,1,E
Argentinos,Arsenal,3,2,L
Union,Godoy Cruz,2,0,L
Huracan,Lanus,4,0,L
San Martin (SJ),Estudiantes (LP),1,0,L
Atl Tucuman,Racing Club,3,1,L
Talleres (C),River Plate,4,0,L
Newells,Chacarita,2,1,L
Gimnasia (LP),Velez,4,0,L
Temperley,San Lorenzo,0,2,V
Boca Juniors,Belgrano,4,0,L
Independiente,Patronato,1,1,E
Def y Justicia,Olimpo,1,1,E
Tigre,Rosario Central,1,1,E
Chacarita,Gimnasia (LP),2,0,L
Godoy Cruz,Huracan,2,1,L
Lanus,Olimpo,0,2,V
Colon,San Martin (SJ),3,3,E
San Lorenzo,Banfield,0,1,V
Rosario Central,Atl Tucuman,0,1,V
Racing Club,Talleres (C),1,1,E
Temperley,Def y Justicia,1,4,V
Estudiantes (LP),Argentinos,1,0,L
Belgrano,Independiente,0,0,E
River Plate,Boca Juniors,1,2,V
Arsenal,Tigre,0,0,E
Patronato,Newells,0,0,E
Velez,Union,0,2,V
Argentinos,Colon,0,1,V
Atl Tucuman,Arsenal,0,0,E
Newells,Belgrano,0,1,V
Def y Justicia,Lanus,3,0,L
Banfield,Temperley,0,0,E
San Martin (SJ),San Lorenzo,1,3,V
Independiente,River Plate,1,0,L
Tigre,Estudiantes (LP),2,0,L
Union,Chacarita,0,0,E
Boca Juniors,Racing Club,1,2,V
Talleres (C),Rosario Central,0,1,V
Gimnasia (LP),Patronato,2,0,L
Olimpo,Godoy Cruz,1,1,E
Huracan,Velez,1,0,L
Banfield,Def y Justicia,0,1,V
Chacarita,Huracan,0,2,V
Colon,Tigre,3,1,L
Patronato,Union,2,3,V
Belgrano,Gimnasia (LP),2,0,L
San Lorenzo,Argentinos,1,0,L
Racing Club,Independiente,0,1,V
Estudiantes (LP),Atl Tucuman,1,0,L
River Plate,Newells,1,3,V
Rosario Central,Boca Juniors,1,0,L
Arsenal,Talleres (C),0,1,V
Velez,Olimpo,3,0,L
Temperley,San Martin (SJ),1,0,L
Godoy Cruz,Lanus,4,1,L
Union,Belgrano,1,1,E
Def y Justicia,Godoy Cruz,3,2,L
Huracan,Patronato,1,1,E
Argentinos,Temperley,2,2,E
Olimpo,Chacarita,2,0,L
Newells,Racing Club,2,2,E
Tigre,San Lorenzo,1,2,V
Talleres (C),Estudiantes (LP),0,1,V
Boca Juniors,Arsenal,2,0,L
Gimnasia (LP),River Plate,2,1,L
Lanus,Velez,0,0,E
Atl Tucuman,Colon,2,0,L
San Martin (SJ),Banfield,2,1,L
Independiente,Rosario Central,1,1,E
River Plate,Union,2,0,L
Velez,Godoy Cruz,0,1,V
San Lorenzo,Atl Tucuman,2,0,L
Temperley,Tigre,2,1,L
Patronato,Olimpo,1,0,L
Belgrano,Huracan,1,0,L
Banfield,Argentinos,2,3,V
Arsenal,Independiente,1,2,V
Rosario Central,Newells,1,0,L
Racing Club,Gimnasia (LP),3,1,L
Colon,Talleres (C),0,2,V
Estudiantes (LP),Boca Juniors,0,1,V
San Martin (SJ),Def y Justicia,1,0,L
Chacarita,Lanus,3,0,L
Godoy Cruz,Chacarita,1,0,L
Tigre,Banfield,1,2,V
Talleres (C),San Lorenzo,2,0,L
Lanus,Patronato,1,1,E
Newells,Arsenal,2,1,L
Def y Justicia,Velez,0,1,V
Boca Juniors,Colon,2,0,L
Argentinos,San Martin (SJ),2,0,L
Olimpo,Belgrano,1,2,V
Union,Racing Club,2,1,L
Huracan,River Plate,1,0,L
Independiente,Estudiantes (LP),1,2,V
Atl Tucuman,Temperley,3,0,L
Gimnasia (LP),Rosario Central,2,1,L
Argentinos,Def y Justicia,2,1,L
Patronato,Godoy Cruz,0,0,E
Belgrano,Lanus,0,0,E
Banfield,Atl Tucuman,0,0,E
Rosario Central,Union,1,0,L
Colon,Independiente,0,1,V
River Plate,Olimpo,2,0,L
Arsenal,Gimnasia (LP),0,0,E
Estudiantes (LP),Newells,4,2,L
San Lorenzo,Boca Juniors,1,1,E
Racing Club,Huracan,4,0,L
Chacarita,Velez,2,0,L
Temperley,Talleres (C),0,1,V
San Martin (SJ),Tigre,0,0,E
Def y Justicia,Chacarita,4,2,L
Union,Arsenal,0,0,E
Newells,Colon,0,1,V
Velez,Patronato,0,2,V
Gimnasia (LP),Estudiantes (LP),0,0,E
Olimpo,Racing Club,1,2,V
Talleres (C),Banfield,1,0,L
Godoy Cruz,Belgrano,2,1,L
Boca Juniors,Temperley,1,0,L
Lanus,River Plate,1,0,L
Tigre,Argentinos,2,0,L
Atl Tucuman,San Martin (SJ),2,1,L
Huracan,Rosario Central,2,3,V
Independiente,San Lorenzo,0,1,V
Racing Club,Lanus,3,1,L
Estudiantes (LP),Union,2,0,L
Belgrano,Velez,2,2,E
San Lorenzo,Newells,1,0,L
Argentinos,Atl Tucuman,2,2,E
Temperley,Independiente,0,0,E
Rosario Central,Olimpo,5,0,L
San Martin (SJ),Talleres (C),1,1,E
Arsenal,Huracan,1,1,E
River Plate,Godoy Cruz,2,2,E
Banfield,Boca Juniors,0,1,V
Patronato,Chacarita,3,0,L
Tigre,Def y Justicia,1,1,E
Colon,Gimnasia (LP),1,0,L
Olimpo,Arsenal,2,1,L
Huracan,Estudiantes (LP),1,0,L
Godoy Cruz,Racing Club,1,2,V
Def y Justicia,Patronato,1,0,L
Lanus,Rosario Central,1,1,E
Velez,River Plate,1,0,L
Atl Tucuman,Tigre,0,0,E
Independiente,Banfield,1,0,L
Chacarita,Belgrano,0,1,V
Boca Juniors,San Martin (SJ),4,2,L
Union,Colon,1,1,E
Talleres (C),Argentinos,2,0,L
Newells,Temperley,0,0,E
Gimnasia (LP),San Lorenzo,1,0,L
Arsenal,Lanus,2,1,L
Belgrano,Patronato,2,2,E
Colon,Huracan,0,0,E
Tigre,Talleres (C),0,0,E
San Lorenzo,Union,0,0,E
Rosario Central,Godoy Cruz,1,2,V
Temperley,Gimnasia (LP),1,1,E
Banfield,Newells,1,0,L
Atl Tucuman,Def y Justicia,0,1,V
River Plate,Chacarita,1,1,E
Racing Club,Velez,2,1,L
Estudiantes (LP),Olimpo,1,0,L
San Martin (SJ),Independiente,0,4,V
Argentinos,Boca Juniors,2,0,L
Godoy Cruz,Arsenal,1,0,L
Gimnasia (LP),Banfield,0,2,V
Talleres (C),Atl Tucuman,3,1,L
Chacarita,Racing Club,1,1,E
Olimpo,Colon,0,3,V
Boca Juniors,Tigre,2,1,L
Patronato,River Plate,0,1,V
Lanus,Estudiantes (LP),0,0,E
Huracan,San Lorenzo,1,1,E
Velez,Rosario Central,2,2,E
Independiente,Argentinos,2,1,L
Union,Temperley,3,0,L
Def y Justicia,Belgrano,1,1,E
Newells,San Martin (SJ),2,0,L
Rosario Central,Chacarita,3,1,L
Colon,Lanus,1,2,V
Argentinos,Newells,1,0,L
Temperley,Huracan,1,2,V
San Martin (SJ),Gimnasia (LP),3,0,L
San Lorenzo,Olimpo,2,0,L
Talleres (C),Def y Justicia,1,0,L
Racing Club,Patronato,5,0,L
Arsenal,Velez,1,1,E
Estudiantes (LP),Godoy Cruz,0,1,V
Atl Tucuman,Boca Juniors,1,1,E
River Plate,Belgrano,3,1,L
Banfield,Union,0,2,V
Tigre,Independiente,1,1,E
Huracan,Banfield,1,1,E
Belgrano,Racing Club,2,2,E
Velez,Estudiantes (LP),3,3,E
Newells,Tigre,2,1,L
Gimnasia (LP),Argentinos,1,3,V
Union,San Martin (SJ),1,1,E
Independiente,Atl Tucuman,0,2,V
Def y Justicia,River Plate,1,3,V
Chacarita,Arsenal,2,2,E
Patronato,Rosario Central,3,0,L
Boca Juniors,Talleres (C),2,1,L
Lanus,San Lorenzo,0,2,V
Olimpo,Temperley,1,1,E
Godoy Cruz,Colon,2,1,L
Tigre,Gimnasia (LP),2,0,L
Argentinos,Union,3,1,L
Rosario Central,Belgrano,2,1,L
Temperley,Lanus,2,2,E
Banfield,Olimpo,3,0,L
Boca Juniors,Def y Justicia,1,2,V
San Lorenzo,Godoy Cruz,0,5,V
San Martin (SJ),Huracan,0,1,V
Atl Tucuman,Newells,1,1,E
Talleres (C),Independiente,0,2,V
Racing Club,River Plate,0,2,V
Arsenal,Patronato,1,1,E
Estudiantes (LP),Chacarita,0,2,V
Colon,Velez,0,1,V
Gimnasia (LP),Atl Tucuman,1,2,V
Huracan,Argentinos,1,0,L
Godoy Cruz,Temperley,3,0,L
Olimpo,San Martin (SJ),0,2,V
Lanus,Banfield,0,0,E
Belgrano,Arsenal,3,0,L
Def y Justicia,Racing Club,3,2,L
Union,Tigre,3,3,E
Patronato,Estudiantes (LP),0,1,V
Chacarita,Colon,0,2,V
River Plate,Rosario Central,2,0,L
Independiente,Boca Juniors,1,0,L
Newells,Talleres (C),2,1,L
Velez,San Lorenzo,2,2,E
Argentinos,Olimpo,1,0,L
Estudiantes (LP),Belgrano,0,1,V
Temperley,Velez,2,4,V
San Martin (SJ),Lanus,1,1,E
Talleres (C),Gimnasia (LP),2,0,L
Banfield,Godoy Cruz,1,1,E
San Lorenzo,Chacarita,1,0,L
Tigre,Huracan,0,2,V
